Year,Country,Imports,Tourists,Inmigrants
2000,BEL,73257780.51757812,230560,1710
2000,CZE,21414966.064453125,69661,110
2000,DEN,41528562.744140625,251519,565
2000,FRA,169747528.3203125,164103,2617
2000,GBR,225495394.53125,3713980,10748
2000,GER,434977673.828125,2920164,17815
2000,IRL,44272564.453125,305759,463
2000,ITA,275452640.625,161328,4336
2000,NLD,158230367.1875,516394,1670
2000,PLN,4466350.006103516,25398,138
2000,SWE,32963338.012695312,535528,1271
2000,SWI,18867717.895507812,187466,923
2001,BEL,63424099.853515625,237618,2414
2001,CZE,30705585.815429688,63862,180
2001,DEN,41293267.822265625,253598,702
2001,FRA,180245561.5234375,145766,3598
2001,GBR,279006318.359375,3943306,13598
2001,GER,435638978.515625,2906576,22118
2001,IRL,50862083.251953125,346434,530
2001,ITA,202374729.4921875,163422,6443
2001,NLD,158117514.6484375,511515,1988
2001,PLN,7696729.187011719,25001,241
2001,SWE,35955631.103515625,506394,1522
2001,SWI,17000146.850585938,162086,1116
2002,BEL,60914677.24609375,223983,2985
2002,CZE,21936950.805664062,62015,281
2002,DEN,52952262.939453125,227221,808
2002,FRA,209880561.5234375,139925,4394
2002,GBR,230270514.6484375,3958135,16688
2002,GER,370332818.359375,2692911,25679
2002,IRL,47259246.337890625,371783,640
2002,ITA,212193582.03125,173740,8499
2002,NLD,159006253.90625,492046,2298
2002,PLN,6423369.049072266,21478,374
2002,SWE,33688616.08886719,458519,1858
2002,SWI,17433328.125,133578,1256
2003,BEL,77559047.36328125,235895,3405
2003,CZE,26725874.572753906,58247,358
2003,DEN,72244234.86328125,208820,896
2003,FRA,247343711.9140625,143198,4975
2003,GBR,261852388.671875,4060434,19869
2003,GER,414366335.9375,2743993,28740
2003,IRL,59277280.029296875,390069,757
2003,ITA,277025461.9140625,183280,10953
2003,NLD,156109328.125,480829,2597
2003,PLN,8939617.126464844,17207,471
2003,SWE,40452886.71875,357650,2113
2003,SWI,16771935.852050781,113259,1382
2004,BEL,89057018.06640625,221804,3168
2004,CZE,18067057.861328125,47268,376
2004,DEN,60660827.75878906,228371,770
2004,FRA,178444199.21875,118312,4748
2004,GBR,251493404.296875,3878666,20526
2004,GER,391215271.484375,2537342,25305
2004,IRL,67578918.9453125,406614,804
2004,ITA,248529395.5078125,179061,12229
2004,NLD,153511065.4296875,440923,2407
2004,PLN,22134916.931152344,18796,496
2004,SWE,39105175.29296875,351321,1804
2004,SWI,18205133.11767578,98784,1282
2005,BEL,116020728.515625,220774,3602
2005,CZE,18053609.19189453,44201,513
2005,DEN,45901795.166015625,246473,863
2005,FRA,213014909.1796875,118211,5480
2005,GBR,220112102.5390625,3631587,25013
2005,GER,472832279.296875,2583950,28957
2005,IRL,57867404.296875,413623,989
2005,ITA,259894061.5234375,207621,15044
2005,NLD,277931127.9296875,428605,2696
2005,PLN,26675953.002929688,18699,784
2005,SWE,33965416.62597656,349933,2079
2005,SWI,17644493.041992188,72770,1411
2006,BEL,116147254.8828125,242203,4036
2006,CZE,23514826.110839844,47770,669
2006,DEN,43263464.35546875,271433,984
2006,FRA,185444723.6328125,109267,6162
2006,GBR,257126970.703125,3642893,29912
2006,GER,533424773.4375,2657786,32846
2006,IRL,56030895.99609375,415742,1231
2006,ITA,253032968.75,233852,18142
2006,NLD,264375480.46875,439692,3144
2006,PLN,39863355.59082031,22978,1147
2006,SWE,51492234.375,333802,2387
2006,SWI,18212975.708007812,119180,1533
2007,BEL,104351781.73828125,245575,4339
2007,CZE,24694869.018554688,45494,850
2007,DEN,56384232.177734375,277282,1099
2007,FRA,240632713.8671875,100388,6642
2007,GBR,246242810.546875,3476319,33817
2007,GER,601901531.25,2574765,35778
2007,IRL,61586771.97265625,473398,1484
2007,ITA,299430404.296875,218624,20776
2007,NLD,198526434.5703125,411665,3447
2007,PLN,26769826.049804688,40699,1814
2007,SWE,64793608.3984375,356949,2668
2007,SWI,38911456.42089844,149927,1686
2008,BEL,116641410.64453125,247602,4704
2008,CZE,18094645.874023438,45102,1056
2008,DEN,42233810.791015625,274119,1222
2008,FRA,270014082.03125,88732,7280
2008,GBR,244708173.828125,3356935,37937
2008,GER,554218269.53125,2501070,39505
2008,IRL,54804529.78515625,492700,1749
2008,ITA,216417926.7578125,176917,24177
2008,NLD,262775080.078125,388188,3742
2008,PLN,20512489.990234375,67860,2681
2008,SWE,42547308.59375,375253,2951
2008,SWI,23436724.853515625,191998,1826
2009,BEL,70930281.25,249269,4936
2009,CZE,15387040.985107422,39048,1229
2009,DEN,49417547.607421875,251221,1299
2009,FRA,188687491.2109375,74465,7788
2009,GBR,148511376.953125,2832371,40816
2009,GER,350451975.5859375,2229920,42061
2009,IRL,53832189.208984375,371911,1948
2009,ITA,184787970.703125,118419,26765
2009,NLD,385600751.953125,333161,3963
2009,PLN,18335317.07763672,68240,3209
2009,SWE,63627571.89941406,345547,3165
2009,SWI,18646052.001953125,160195,1923
2010,BEL,85342971.92382812,317059,5130
2010,CZE,21445460.998535156,31454,1341
2010,DEN,43986035.52246094,257232,1286
2010,FRA,192516409.1796875,102825,8093
2010,GBR,165624727.5390625,3192194,42542
2010,GER,351671681.640625,2323551,43751
2010,IRL,86873556.15234375,345705,2232
2010,ITA,268818672.8515625,163478,28467
2010,NLD,469326228.515625,324911,4106
2010,PLN,18546677.978515625,80726,3481
2010,SWE,109994969.36035156,343439,3345
2010,SWI,23924742.797851562,165868,1999
2011,BEL,94337433.59375,354655,4789
2011,CZE,26867227.84423828,36133,1427
2011,DEN,30125636.962890625,321315,1308
2011,FRA,269767945.3125,197140,8041
2011,GBR,252138555.6640625,3625810,41878
2011,GER,366737091.796875,2720153,44525
2011,IRL,59734826.416015625,405201,2324
2011,ITA,215033658.203125,298086,29403
2011,NLD,557961208.984375,410254,4131
2011,PLN,14230116.882324219,147380,3718
2011,SWE,91685608.88671875,443242,3415
2011,SWI,27462192.016601562,212061,2078
2012,BEL,91380732.421875,354625,5040
2012,CZE,24541175.10986328,30968,1540
2012,DEN,32751932.495117188,321956,1352
2012,FRA,147785421.875,208065,8326
2012,GBR,199188070.3125,3511210,43100
2012,GER,317524945.3125,2642638,45580
2012,IRL,52315349.609375,378260,2434
2012,ITA,173006637.6953125,237527,31378
2012,NLD,315398413.0859375,423420,4226
2012,PLN,17805005.859375,151817,4077
2012,SWE,118001931.03027344,450769,3592
2012,SWI,29411480.102539062,228296,2171
2013,BEL,215475806.15234375,371983,5117
2013,CZE,23291002.74658203,30905,1566
2013,DEN,31725424.194335938,331987,1185
2013,FRA,132561401.3671875,250536,8153
2013,GBR,146416622.55859375,3670858,41171
2013,GER,295955726.5625,2597093,41616
2013,IRL,51049137.20703125,412391,2487
2013,ITA,128191862.3046875,245502,32624
2013,NLD,311318417.96875,444690,4101
2013,PLN,26618758.666992188,152302,4201
2013,SWE,138970759.765625,539210,3452
2013,SWI,25778335.693359375,239967,2069
2014,BEL,188889652.34375,372478,4479
2014,CZE,40680916.748046875,31669,1527
2014,DEN,61734455.93261719,328987,1071
2014,FRA,177390678.7109375,357488,6905
2014,GBR,135501078.61328125,4106050,32341
2014,GER,361778105.46875,2906075,33082
2014,IRL,52609979.248046875,421808,2249
2014,ITA,154975155.2734375,300971,31741
2014,NLD,269451320.3125,426586,3609
2014,PLN,37665649.169921875,181301,4272
2014,SWE,148756940.4296875,544241,2911
2014,SWI,26758427.001953125,269183,1782
2015,BEL,146360424.31640625,402176,4342
2015,CZE,50424572.021484375,37157,1462
2015,DEN,64607692.87109375,326217,1012
2015,FRA,180673712.890625,428127,6465
2015,GBR,120780593.75,4279392,29233
2015,GER,386908222.65625,2868884,30582
2015,IRL,51630962.646484375,457278,2124
2015,ITA,191277662.109375,383155,33533
2015,NLD,183256961.9140625,454127,3408
2015,PLN,34619944.70214844,241629,4058
2015,SWE,138310139.6484375,520091,2595
2015,SWI,27450465.8203125,283689,1698
2016,BEL,131835973.14453125,437551,4191
2016,CZE,60770537.59765625,48764,1431
2016,DEN,62859527.34375,352145,923
2016,FRA,194291057.6171875,450497,6314
2016,GBR,127461259.27734375,5055084,27349
2016,GER,451579525.390625,3166443,28159
2016,IRL,55163687.01171875,497011,1909
2016,ITA,193786988.28125,472462,37228
2016,NLD,223340185.546875,584874,3310
2016,PLN,33628135.009765625,327310,3995
2016,SWE,122756360.83984375,546825,2350
2016,SWI,27376463.134765625,318225,1645
2017,BEL,178489966.30859375,453426,3976
2017,CZE,48361359.619140625,49594,1354
2017,DEN,63678614.37988281,384151,855
2017,FRA,285214617.1875,454805,6068
2017,GBR,176038393.06640625,5536229,25271
2017,GER,503396554.6875,3250904,26331
2017,IRL,56903901.611328125,532053,1840
2017,ITA,341900171.875,540292,41153
2017,NLD,210946033.203125,645657,3259
2017,PLN,33145450.073242188,369889,3940
2017,SWE,164076356.3232422,585881,2151
2017,SWI,28116526.123046875,333779,1586
2018,BEL,98466929.19921875,441358,4101
2018,CZE,60444512.20703125,51261,1350
2018,DEN,101118997.43652344,362415,826
2018,FRA,274745368.1640625,439872,6148
2018,GBR,175703990.234375,5217459,24989
2018,GER,531630626.953125,3221231,26001
2018,IRL,56440177.734375,556051,1862
2018,ITA,236823833.0078125,510825,45430
2018,NLD,326648625.9765625,618689,3293
2018,PLN,40837461.181640625,352026,4197
2018,SWE,235122379.27246094,539675,2131
2018,SWI,28287087.158203125,339450,1636
2019,BEL,101192913.57421875,434622,4176
2019,CZE,49324241.2109375,51890,1404
2019,DEN,93214095.21484375,347470,824
2019,FRA,267394798.828125,455590,6240
2019,GBR,154358040.52734375,5139014,25589
2019,GER,437822541.015625,2761612,25696
2019,IRL,56713009.521484375,585456,1995
2019,ITA,236307858.3984375,476554,49209
2019,NLD,423757753.90625,594075,3348
2019,PLN,43338719.7265625,271576,4539
2019,SWE,91024362.42675781,483349,2143
2019,SWI,22513325.134277344,313083,1688
